name,type_of_place,center_type,designation_year,information
Bellevue High School,Planning Academy School,Bellevue School District,,"Bellevue High School is one of four comprehensive public high schools in the Seattle suburb of Bellevue, Washington. Accreditation: Northwest Association of Secondary and Higher Schools, Office of the Superintendent of Public Instruction. Memberships: The College Board, Pacific Northwest Association of College Admissions Counselors"
Interlake High School,Planning Academy School,Bellevue School District,,Interlake High School is a comprehensive four-year public high school enrolling 1588 students in grades nine through twelve. The school opened in the fall of 1967 and graduated its first senior class in the spring of 1969. Interlake is accredited by the Northwest Association of Schools and Colleges and the Office of the Superintendent of Public Instruction.
Newport High School,Planning Academy School,Bellevue School District,,Newport High School
Sammamish High School,Planning Academy School,Bellevue School District,,Sammamish High School
Henry M. Jackson High School,Planning Academy School,Everett School District,,"Built in 1994, Henry M. Jackson High School is the district’s newest high school, located in the fastest growing region of the school district. Approximately 2,100 Timberwolves in grades nine through 12 attend Henry M. Jackson High School. In 2011, the school’s new cafeteria and annex opened as a central gathering place for students and the community."
Mount Rainier High School,Planning Academy School,Highline School District,,"Mount Rainier High School promotes the growth of every student and seeks to create principled, knowledgeable, and inquisitive graduates empowered to lead productive and caring lives in a global society."
Raisbeck Aviation High School (Highline),Planning Academy School,Highline School District,,"To be the premier public high school of choice for students in King County and the region who wish to pursue their passion for aviation and aerospace in a learning environment that prepares them for higher education, citizenship, and work."
Raisbeck Aviation High School (Renton),Planning Academy School,Highline School District,,"To be the premier public high school of choice for students in King County and the region who wish to pursue their passion for aviation and aerospace in a learning environment that prepares them for higher education, citizenship, and work."
Issaquah High School,Planning Academy School,Issaquah School District,,Issaquah High School
Liberty High School,Planning Academy School,Issaquah School District,,Liberty High School
Skyline High School,Planning Academy School,Issaquah School District,,Skyline High School
Eastlake High School,Planning Academy School,Lake Washington School District,,"Eastlake is one of four comprehensive high schools in the Lake Washington School District (LWSD), a suburban school district that spans the Eastside of King County from Sammamish to Kirkland. It has 54 schools and almost 30,000 students. Eastlake opened in 1993 and currently serves over 2000 students. It opened as a member of the Coalition of Essential Schools, an organization whose Common Principles centered on personalization, student-centered instruction, integration and critical thinking.  Eastlake also spent years implementing Professional Learning Communities (PLCs), which focuses on collaboration to improve student learning, and the use of data to inform and improve instruction."
Juanita High School,Planning Academy School,Lake Washington School District,,"The tradition of JHS is based on a strong sense of community. The school’s culture is based on the core values of personal integrity, a strong work ethic and a professionally collaborative environment. The atmosphere is personalized so that students of all levels and needs can find a home in our school. Juanita offers a blend of Advanced Placement and college preparatory coursework, including courses sanctioned by the University of Washington and the University of Cambridge. We also use safety net programs, when needed, to help ensure the high school graduation and academic success of each student. "
Lake Washington High School,Planning Academy School,Lake Washington School District,,"LWHS continues to grow and develop to ensure graduates are prepared for post-secondary success. In addition to the regular academic program offerings, the school offers a rigorous advanced academic curriculum. Students can take advantage of Honors, Advanced Placement, University of Washington in the High School, CTE Dual Credit (earning college credit while enrolled in classes at LWHS). They can also access full or part-time Running Start and WANIC classes. "
Mercer Island High School,Planning Academy School,Mercer Island School District,,"Mercer Island High School (MIHS) is a comprehensive four-year public high school and includes Crest Learning Center – an alternative high school program. Local private and parochial school students also matriculate at Mercer Island High School. There are approximately 1,548 students attending the high school. There are 404 seniors in the Class of 2023. On time graduation rate is 95%. The ethnic breakdown of the student population is 20% Asian, 0.8% African American, 66.6% Caucasian, 3.5% Hispanic/Latino, 0.1% Native Hawaiian/Pacific Islander, and 8.7% Multiracial. The full and part-time classroom educational staff totals 103."
Mariner High School,Planning Academy School,Mukilteo School District,,"Mariner High School enjoys a rich heritage as the first high school in the District. Opened in 1971, the building originally offered 178,000 ft.² of usable space. In 1983, a weight room was added and in 1994, office, auxiliary gym, and theater spaces brought the total square footage to 198,219 ft.². Currently, the school has two gymnasiums, swimming and diving pools, a 162-seat theater, six computer labs, a publishing center, a photo lab, and 78 classrooms. Fourteen portables add to classroom space. Completing the site is Goddard Stadium, with an approximate seating capacity of 2500, opened in 1972, and modernized in 1990, 1995, and 1996. The field hosts district-wide track and field, football, and soccer events. "
Kingston High School,Planning Academy School,North Kitsap School District,,"Empowering students for college readiness, informed global citizenship, and active community care and stewardship."
North Kitsap High School,Planning Academy School,North Kitsap School District,,"NKHS's visionary approach, academic excellence, diverse community, personalized, tech-enhanced learning empower student success."
Bothell High School,Planning Academy School,Northshore School District,,Bothell High School
Inglemoor High School,Planning Academy School,Northshore School District,,Inglemoor High School
